CustomerID,TotalOrders,TotalSpend,AvgOrderValue,StdOrderValue,AvgQuantity,AvgUnitPrice,AvgItemsInCart,AvgCartFillRatio,AvgPricePerUnit,AvgItemValue,CouponUsageRate,WeekendOrderRate,HighValueOrderRate,FraudProxyRate,UniqueProducts,UniquePaymentMethods,AvgOrderMonth,AvgOrderDayOfWeek,RecencyDays,TenureDays,IsRepeatCustomer,TopProduct_Chair,TopProduct_Desk,TopProduct_Laptop,TopProduct_Other,TopProduct_Printer,TopProduct_Tablet,TopPayment_Cash,TopPayment_Credit Card,TopPayment_Debit Card,TopPayment_Gift Card,TopPayment_Online,TopReferral_Email,TopReferral_Facebook,TopReferral_Google,TopReferral_Instagram,TopReferral_Referral,Cluster
C10002,1,1470.03,1470.03,0.0,3.0,490.01,4.0,0.75,490.01,367.508,1.0,0.0,0.0,1.0,1,1,10.0,0.0,624,0,0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,0
C10054,1,153.48,153.48,0.0,2.0,76.74,7.0,0.286,76.74,21.926,1.0,0.0,0.0,1.0,1,1,10.0,0.0,260,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1
C10126,1,1349.8,1349.8,0.0,2.0,674.9,4.0,0.5,674.9,337.45,1.0,1.0,0.0,0.0,1,1,6.0,6.0,744,0,0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,0
C10154,1,1303.04,1303.04,0.0,4.0,325.76,8.0,0.5,325.76,162.88,1.0,0.0,0.0,0.0,1,1,7.0,0.0,337,0,0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1
C10211,1,635.9000000000001,635.9000000000001,0.0,5.0,127.18,10.0,0.5,127.18,63.59,1.0,0.0,0.0,1.0,1,1,5.0,3.0,418,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
C10222,1,204.08,204.08,0.0,1.0,204.08,4.0,0.25,204.08,51.02,0.0,0.0,0.0,1.0,1,1,9.0,2.0,643,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,1
C10477,1,466.42,466.42,0.0,1.0,466.42,5.0,0.2,466.42,93.284,1.0,0.0,0.0,0.0,1,1,5.0,2.0,790,0,0,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,1
C10642,1,922.74,922.74,0.0,2.0,461.37,5.0,0.4,461.37,184.548,1.0,0.0,0.0,0.0,1,1,6.0,2.0,384,0,0,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,1
C10787,1,1099.28,1099.28,0.0,4.0,274.82,9.0,0.444,274.82,122.142,1.0,0.0,0.0,0.0,1,1,10.0,0.0,617,0,0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,1
C10791,1,355.09,355.09,0.0,1.0,355.09,5.0,0.2,355.09,71.018,1.0,0.0,0.0,1.0,1,1,12.0,2.0,559,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
C10866,1,789.5699999999999,789.5699999999999,0.0,3.0,263.19,5.0,0.6,263.19,157.914,0.0,0.0,0.0,0.0,1,1,12.0,1.0,553,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,1
C10892,1,754.94,754.94,0.0,2.0,377.47,7.0,0.286,377.47,107.849,0.0,1.0,0.0,0.0,1,1,7.0,5.0,346,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1
C11127,1,1306.65,1306.65,0.0,5.0,261.33,5.0,1.0,261.33,261.33,1.0,0.0,0.0,1.0,1,1,8.0,2.0,307,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
C11210,1,454.6,454.6,0.0,5.0,90.92,9.0,0.556,90.92,50.511,1.0,0.0,0.0,0.0,1,1,9.0,0.0,295,0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1
C11415,1,2876.2,2876.2,0.0,5.0,575.24,7.0,0.714,575.24,410.886,1.0,0.0,1.0,0.0,1,1,3.0,4.0,473,0,0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,0
C11473,1,146.82,146.82,0.0,2.0,73.41,2.0,1.0,73.41,73.41,1.0,0.0,0.0,0.0,1,1,12.0,3.0,551,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,1
C11644,1,46.66,46.66,0.0,1.0,46.66,6.0,0.167,46.66,7.777,0.0,0.0,0.0,1.0,1,1,7.0,4.0,711,0,0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,1
C11657,1,264.4,264.4,0.0,4.0,66.1,9.0,0.444,66.1,29.378,1.0,1.0,0.0,1.0,1,1,12.0,6.0,569,0,0,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,1
C11665,1,337.38,337.38,0.0,3.0,112.46,6.0,0.5,112.46,56.23,1.0,0.0,0.0,0.0,1,1,4.0,4.0,795,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,1
C11676,1,929.0,929.0,0.0,2.0,464.5,2.0,1.0,464.5,464.5,1.0,0.0,0.0,1.0,1,1,6.0,2.0,20,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,0
C11829,1,279.14,279.14,0.0,2.0,139.57,4.0,0.5,139.57,69.785,1.0,1.0,0.0,0.0,1,1,5.0,6.0,58,0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1
C11849,1,476.5,476.5,0.0,2.0,238.25,7.0,0.286,238.25,68.071,1.0,1.0,0.0,1.0,1,1,10.0,6.0,247,0,0,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,1
C11893,1,1582.0,1582.0,0.0,5.0,316.4,7.0,0.714,316.4,226.0,0.0,0.0,0.0,1.0,1,1,9.0,4.0,284,0,0,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,0
C11906,1,1237.59,1237.59,0.0,3.0,412.53,6.0,0.5,412.53,206.265,1.0,0.0,0.0,0.0,1,1,1.0,2.0,181,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,1
C11921,1,452.7,452.7,0.0,1.0,452.7,5.0,0.2,452.7,90.54,1.0,0.0,0.0,0.0,1,1,11.0,4.0,214,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,1
C11940,1,448.02,448.02,0.0,3.0,149.34,7.0,0.429,149.34,64.003,1.0,0.0,0.0,1.0,1,1,9.0,1.0,665,0,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,1
C11985,1,30.44,30.44,0.0,1.0,30.44,1.0,1.0,30.44,30.44,1.0,1.0,0.0,0.0,1,1,10.0,5.0,633,0,0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,1
C11998,1,1495.98,1495.98,0.0,3.0,498.66,6.0,0.5,498.66,249.33,0.0,1.0,0.0,1.0,1,1,2.0,6.0,135,0,0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0
C12039,1,132.68,132.68,0.0,1.0,132.68,1.0,1.0,132.68,132.68,1.0,0.0,0.0,1.0,1,1,12.0,1.0,567,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,1
C12245,1,815.58,815.58,0.0,2.0,407.79,3.0,0.667,407.79,271.86,0.0,0.0,0.0,0.0,1,1,5.0,2.0,776,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,1
C12301,1,531.74,531.74,0.0,1.0,531.74,1.0,1.0,531.74,531.74,1.0,0.0,0.0,0.0,1,1,9.0,0.0,659,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,0
C12388,1,2683.6,2683.6,0.0,5.0,536.72,10.0,0.5,536.72,268.36,0.0,0.0,1.0,0.0,1,1,5.0,0.0,792,0,0,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,0
C12408,1,161.54,161.54,0.0,2.0,80.77,4.0,0.5,80.77,40.385,0.0,1.0,0.0,0.0,1,1,8.0,5.0,675,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,1
C12421,1,93.02,93.02,0.0,1.0,93.02,4.0,0.25,93.02,23.255,0.0,0.0,0.0,1.0,1,1,4.0,4.0,795,0,0,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,1
C12444,1,230.88,230.88,0.0,3.0,76.96,8.0,0.375,76.96,28.86,1.0,0.0,0.0,1.0,1,1,9.0,1.0,287,0,0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,1
C12459,1,284.16,284.16,0.0,2.0,142.08,4.0,0.5,142.08,71.04,1.0,0.0,0.0,0.0,1,1,9.0,4.0,298,0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,1
C12472,1,252.93,252.93,0.0,3.0,84.31,3.0,1.0,84.31,84.31,1.0,1.0,0.0,0.0,1,1,2.0,6.0,492,0,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1
C12479,1,124.1,124.1,0.0,5.0,24.82,10.0,0.5,24.82,12.41,0.0,0.0,0.0,0.0,1,1,10.0,0.0,638,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,1
C12487,1,1427.07,1427.07,0.0,3.0,475.69,3.0,1.0,475.69,475.69,1.0,0.0,0.0,1.0,1,1,1.0,0.0,540,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,0
C12607,1,281.52,281.52,0.0,1.0,281.52,6.0,0.167,281.52,46.92,1.0,0.0,0.0,0.0,1,1,4.0,2.0,818,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1
C12609,1,547.32,547.32,0.0,4.0,136.83,8.0,0.5,136.83,68.415,1.0,1.0,0.0,0.0,1,1,11.0,6.0,583,0,0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,1
C12667,1,223.3,223.3,0.0,1.0,223.3,1.0,1.0,223.3,223.3,0.0,1.0,0.0,1.0,1,1,4.0,6.0,72,0,0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,1
C12740,1,644.75,644.75,0.0,5.0,128.95,10.0,0.5,128.95,64.475,1.0,0.0,0.0,0.0,1,1,9.0,3.0,649,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
C12813,1,1462.7,1462.7,0.0,5.0,292.54,8.0,0.625,292.54,182.838,1.0,1.0,0.0,1.0,1,1,3.0,5.0,108,0,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,1
C12818,1,191.04,191.04,0.0,3.0,63.68,6.0,0.5,63.68,31.84,0.0,0.0,0.0,1.0,1,1,12.0,2.0,566,0,0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1
C13100,1,1177.64,1177.64,0.0,4.0,294.41,4.0,1.0,294.41,294.41,0.0,0.0,0.0,0.0,1,1,12.0,0.0,561,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
C13108,1,3293.85,3293.85,0.0,5.0,658.77,10.0,0.5,658.77,329.385,1.0,0.0,1.0,0.0,1,1,4.0,3.0,432,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0
C13169,1,536.07,536.07,0.0,1.0,536.07,5.0,0.2,536.07,107.214,1.0,0.0,0.0,0.0,1,1,11.0,2.0,594,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,1
C13186,1,889.68,889.68,0.0,2.0,444.84,7.0,0.286,444.84,127.097,0.0,0.0,0.0,0.0,1,1,8.0,1.0,672,0,0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,1
C13205,1,2107.1,2107.1,0.0,5.0,421.42,7.0,0.714,421.42,301.014,0.0,0.0,0.0,1.0,1,1,1.0,2.0,888,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
C13296,1,108.82,108.82,0.0,2.0,54.41,6.0,0.333,54.41,18.137,0.0,1.0,0.0,0.0,1,1,6.0,5.0,759,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
